2018-12-22__20:40:20 0.39 54.27 50°C normal
2018-12-22__20:40:25 0.40 53.00 51°C note
2018-12-22__20:40:31 0.40 53.26 50°C normal
2018-12-23__09:37:20 0.16,0.23 43.28 42°C normal
2018-12-23__09:37:25 0.16,0.23 27.91 42°C normal
2018-12-23__09:37:31 0.17,0.23 28.50 42°C normal
2018-12-23__09:37:37 0.17,0.23 32.99 42°C normal
2018-12-23__09:37:42 0.17,0.23 30.45 41°C normal
2018-12-23__09:37:48 0.16,0.23 28.42 41°C normal
2018-12-23__09:37:56 0.16,0.23 30.15 42°C normal
2018-12-23__09:38:06 0.17,0.23 29.44 42°C normal
2018-12-23__09:38:16 0.18,0.23 28.14 42°C normal
2018-12-23__09:38:21 0.18,0.23 27.77 42°C normal
2018-12-23__09:38:27 0.17,0.23 26.90 42°C normal
2018-12-23__09:38:32 0.17,0.23 26.90 42°C normal
2018-12-23__09:38:41 0.17,0.23 27.27 42°C normal
2018-12-23__09:38:51 0.21,0.24 31.00 43°C normal
2018-12-23__09:39:01 0.24,0.25 30.80 43°C normal
2018-12-23__09:39:06 0.26,0.26 28.00 43°C normal
2018-12-23__09:39:15 0.26,0.26 27.55 43°C normal
2018-12-23__09:39:21 0.34,0.28 29.79 44°C normal
2018-12-23__09:39:26 0.36,0.29 28.35 43°C normal
2018-12-23__09:39:32 0.35,0.29 32.32 43°C normal
2018-12-23__09:39:40 0.35,0.28 30.15 43°C normal
2018-12-23__09:39:50 0.33,0.28 29.55 43°C normal
2018-12-23__09:40:00 0.32,0.28 27.55 44°C normal
2018-12-23__09:40:10 0.31,0.27 27.77 43°C normal
2018-12-23__09:40:16 0.31,0.27 33.66 44°C normal
2018-12-23__09:40:25 0.33,0.28 29.29 42°C normal
2018-12-23__09:40:31 0.32,0.28 34.67 43°C normal
2018-12-23__09:40:36 0.33,0.28 28.78 41°C normal
2018-12-23__09:40:42 0.34,0.28 28.28 41°C normal
2018-12-23__09:40:50 0.33,0.28 29.00 41°C normal
2018-12-23__09:41:00 0.32,0.28 28.14 42°C normal
2018-12-23__09:41:10 0.31,0.27 27.77 42°C normal
2018-12-23__09:41:20 0.30,0.27 33.83 44°C normal
2018-12-23__09:41:26 0.30,0.27 27.77 43°C normal
2018-12-23__09:41:31 0.30,0.27 29.44 43°C normal
2018-12-23__09:41:37 0.30,0.27 29.50 43°C normal
2018-12-23__09:41:45 0.29,0.27 27.04 43°C normal
2018-12-23__09:41:55 0.28,0.27 28.20 43°C normal
2018-12-23__09:42:01 0.33,0.28 29.14 43°C normal
2018-12-23__09:42:10 0.33,0.28 29.29 42°C normal
2018-12-23__09:42:20 0.34,0.28 34.17 42°C normal
2018-12-23__09:42:26 0.33,0.28 29.85 42°C normal
2018-12-23__09:42:31 0.32,0.28 28.50 42°C normal
2018-12-23__09:42:37 0.31,0.28 31.12 43°C normal
2018-12-23__09:42:45 0.31,0.27 26.66 43°C normal
2018-12-23__09:42:55 0.33,0.28 27.77 43°C normal
2018-12-23__09:43:05 0.34,0.28 27.27 42°C normal
2018-12-23__09:43:11 0.34,0.29 29.00 42°C normal
2018-12-23__09:43:20 0.35,0.29 32.30 45°C normal
2018-12-23__09:43:26 0.34,0.29 27.91 42°C normal
2018-12-23__09:43:32 0.34,0.28 27.27 42°C normal
2018-12-23__09:43:37 0.33,0.28 30.00 41°C normal
2018-12-23__09:43:45 0.32,0.28 28.00 41°C normal
2018-12-23__09:43:56 0.33,0.28 28.06 42°C normal
2018-12-23__09:44:06 0.32,0.28 28.71 42°C normal
2018-12-23__09:44:16 0.34,0.29 28.14 43°C normal
2018-12-23__09:44:21 0.35,0.29 28.28 43°C normal
2018-12-23__09:44:27 0.36,0.29 28.35 43°C normal
2018-12-23__09:44:32 0.35,0.29 28.00 43°C normal
2018-12-23__09:44:41 0.35,0.29 28.42 43°C normal
