2018-12-23__09:34:31 0.42,0.38,0.34 81.28 44°C normal
2018-12-23__09:34:38 0.65,0.44,0.36 28.85 41°C normal
2018-12-23__09:34:44 0.68,0.45,0.36 27.77 41°C normal
2018-12-23__09:34:49 0.62,0.44,0.36 28.71 43°C normal
2018-12-23__09:34:55 1.05,0.53,0.39 27.91 43°C normal
2018-12-23__09:35:04 0.89,0.51,0.38 46.15 43°C normal
2018-12-23__09:35:09 0.82,0.50,0.38 28.00 42°C normal
2018-12-23__09:35:17 0.75,0.50,0.38 27.27 41°C normal
2018-12-23__09:35:27 0.79,0.51,0.39 35.60 42°C normal
2018-12-23__09:35:33 0.75,0.51,0.39 57.44 44°C normal
2018-12-23__09:35:38 0.69,0.50,0.38 33.50 44°C normal
2018-12-23__09:35:44 0.72,0.51,0.39 32.50 42°C normal
2018-12-23__09:35:52 0.60,0.49,0.38 31.65 41°C normal
2018-12-23__09:36:02 0.51,0.48,0.38 41.26 42°C normal
2018-12-23__09:36:12 0.43,0.46,0.37 29.95 41°C normal
2018-12-23__09:36:18 0.40,0.45,0.37 27.27 43°C normal
2018-12-23__09:36:27 0.34,0.44,0.37 31.47 42°C normal
2018-12-23__09:36:33 0.39,0.45,0.37 37.36 44°C normal
2018-12-23__09:36:39 0.36,0.44,0.37 36.54 42°C normal
2018-12-23__09:36:44 0.33,0.43,0.36 28.78 42°C normal
2018-12-23__09:36:53 0.84,0.53,0.40 27.63 43°C normal
2018-12-23__09:37:03 0.93,0.57,0.41 32.48 42°C normal
2018-12-23__09:37:13 0.79,0.55,0.40 30.30 43°C normal
2018-12-23__09:37:23 0.67,0.53,0.40 39.19 42°C normal
2018-12-23__09:37:29 0.61,0.52,0.40 27.63 43°C normal
2018-12-23__09:37:34 0.80,0.56,0.41 55.33 43°C normal
2018-12-23__09:37:40 0.74,0.55,0.41 27.69 42°C normal
2018-12-23__09:37:45 0.68,0.54,0.41 40.30 43°C normal
2018-12-23__09:37:54 0.57,0.52,0.40 47.97 43°C normal
2018-12-23__09:38:04 0.63,0.54,0.41 79.38 43°C normal
2018-12-23__09:38:14 0.54,0.52,0.40 45.27 43°C normal
2018-12-23__09:38:24 0.45,0.50,0.40 31.84 42°C normal
2018-12-23__09:38:34 0.85,0.59,0.43 36.86 43°C normal
2018-12-23__09:38:40 0.78,0.58,0.42 38.94 43°C normal
2018-12-23__09:38:45 0.72,0.57,0.42 46.39 44°C normal
2018-12-23__09:38:51 0.66,0.56,0.42 28.21 42°C normal
2018-12-23__09:38:59 0.80,0.59,0.43 34.71 43°C normal
2018-12-23__09:39:09 0.68,0.57,0.43 35.56 42°C normal
2018-12-23__09:39:15 0.62,0.56,0.42 31.37 42°C normal
2018-12-23__09:39:23 0.53,0.54,0.42 32.99 44°C normal
2018-12-23__09:39:34 0.53,0.54,0.42 33.00 43°C normal
2018-12-23__09:39:39 0.48,0.53,0.42 36.22 43°C normal
2018-12-23__09:39:45 0.44,0.52,0.41 34.97 44°C normal
2018-12-23__09:39:50 0.41,0.51,0.41 32.98 44°C normal
2018-12-23__09:39:59 0.87,0.61,0.45 28.93 43°C normal
2018-12-23__09:40:09 0.73,0.59,0.44 29.08 43°C normal
2018-12-23__09:40:19 0.62,0.57,0.44 39.90 42°C normal
2018-12-23__09:40:24 0.57,0.56,0.43 39.06 43°C normal
2018-12-23__09:40:34 0.72,0.59,0.45 37.75 44°C normal
2018-12-23__09:40:39 0.67,0.58,0.44 27.72 43°C normal
2018-12-23__09:40:45 0.61,0.57,0.44 30.45 43°C normal
2018-12-23__09:40:51 0.56,0.56,0.44 32.30 42°C normal
2018-12-23__09:40:59 0.48,0.54,0.43 34.65 43°C normal
2018-12-23__09:41:09 0.40,0.52,0.43 70.91 43°C normal
2018-12-23__09:41:19 0.34,0.51,0.42 37.11 42°C normal
2018-12-23__09:41:29 0.29,0.49,0.42 34.84 43°C normal
2018-12-23__09:41:35 0.42,0.51,0.43 43.14 43°C normal
2018-12-23__09:41:41 0.55,0.54,0.44 43.00 43°C normal
2018-12-23__09:41:46 0.51,0.53,0.43 31.34 44°C normal
2018-12-23__09:41:55 0.43,0.51,0.43 39.08 42°C normal
2018-12-23__09:42:05 0.66,0.56,0.45 54.76 43°C normal
2018-12-23__09:42:10 0.60,0.55,0.44 37.56 43°C normal
2018-12-23__09:42:20 0.51,0.53,0.44 30.45 42°C normal
2018-12-23__09:42:30 0.65,0.56,0.45 32.14 44°C normal
2018-12-23__09:42:35 0.60,0.55,0.45 30.34 43°C normal
2018-12-23__09:42:41 0.55,0.54,0.45 26.13 43°C normal
2018-12-23__09:42:47 0.51,0.53,0.44 32.52 43°C normal
2018-12-23__09:42:55 0.66,0.57,0.45 32.50 44°C normal
2018-12-23__09:43:05 0.56,0.55,0.45 55.33 44°C normal
2018-12-23__09:43:15 0.47,0.53,0.44 31.28 42°C normal
2018-12-23__09:43:21 0.44,0.52,0.44 29.01 44°C normal
2018-12-23__09:43:30 0.37,0.50,0.44 38.65 44°C normal
2018-12-23__09:43:36 0.34,0.49,0.43 37.24 44°C normal
2018-12-23__09:43:41 0.31,0.49,0.43 53.84 45°C normal
2018-12-23__09:43:47 0.29,0.48,0.43 30.61 44°C normal
2018-12-23__09:43:55 0.40,0.50,0.44 34.84 42°C normal
2018-12-23__09:44:05 0.33,0.48,0.43 50.25 44°C normal
2018-12-23__09:44:15 0.36,0.48,0.43 51.75 42°C normal
2018-12-23__09:44:26 0.30,0.46,0.43 55.89 42°C normal
2018-12-23__09:44:31 0.36,0.47,0.43 33.50 43°C normal
2018-12-23__09:44:41 0.38,0.47,0.43 58.08 44°C normal
2018-12-23__09:44:46 0.43,0.48,0.44 37.94 43°C normal
2018-12-23__09:44:52 0.40,0.47,0.43 28.21 41°C normal
2018-12-23__09:44:58 0.37,0.46,0.43 27.69 43°C normal
2018-12-23__09:45:06 0.46,0.48,0.44 35.14 42°C normal
2018-12-23__09:45:16 0.39,0.47,0.43 39.00 42°C normal
2018-12-23__09:45:27 0.33,0.45,0.43 31.50 41°C normal
2018-12-23__09:45:37 0.28,0.43,0.42 26.26 41°C normal
2018-12-23__09:45:42 0.25,0.43,0.42 26.02 42°C normal
2018-12-23__09:45:48 0.23,0.42,0.42 51.54 42°C normal
2018-12-23__09:45:54 0.59,0.49,0.44 27.86 42°C normal
2018-12-23__09:46:02 0.54,0.48,0.44 34.34 41°C normal
2018-12-23__09:46:12 0.46,0.46,0.43 30.68 42°C normal
2018-12-23__09:46:18 0.42,0.46,0.43 26.90 41°C normal
2018-12-23__09:46:26 0.43,0.46,0.43 27.00 41°C normal
2018-12-23__09:46:36 0.45,0.46,0.43 31.52 42°C normal
2018-12-23__09:46:42 0.41,0.45,0.43 74.22 42°C normal
2018-12-23__09:46:48 0.46,0.46,0.43 34.31 43°C normal
2018-12-23__09:46:53 0.42,0.45,0.43 35.35 42°C normal
2018-12-23__09:47:03 0.43,0.45,0.43 28.07 42°C normal
2018-12-23__09:47:13 0.44,0.46,0.43 41.41 42°C normal
2018-12-23__09:47:23 0.52,0.47,0.44 51.02 41°C normal
2018-12-23__09:47:29 0.74,0.52,0.46 27.50 43°C normal
2018-12-23__09:47:37 0.68,0.52,0.45 29.59 42°C normal
2018-12-23__09:47:43 0.62,0.51,0.45 38.26 41°C normal
2018-12-23__09:47:48 0.81,0.55,0.47 32.14 42°C normal
2018-12-23__09:47:54 0.76,0.55,0.47 41.83 41°C normal
2018-12-23__09:48:02 0.70,0.54,0.46 28.28 42°C normal
2018-12-23__09:48:12 0.67,0.54,0.46 29.14 42°C normal
2018-12-23__09:48:22 0.57,0.52,0.46 33.83 42°C normal
2018-12-23__09:48:32 0.48,0.50,0.45 27.27 42°C normal
2018-12-23__09:48:38 0.52,0.51,0.45 29.50 41°C normal
2018-12-23__09:48:44 0.56,0.52,0.46 51.01 42°C normal
2018-12-23__09:48:49 0.47,0.50,0.45 28.06 42°C normal
2018-12-23__09:48:58 0.44,0.49,0.45 27.91 41°C normal
2018-12-23__09:49:08 0.37,0.47,0.44 34.80 42°C normal
2018-12-23__09:49:13 0.34,0.47,0.44 33.66 42°C normal
2018-12-23__09:49:23 0.36,0.47,0.44 30.80 41°C normal
2018-12-23__09:49:33 0.31,0.45,0.44 39.26 41°C normal
2018-12-23__09:49:39 0.28,0.44,0.44 27.31 42°C normal
2018-12-23__09:49:44 0.31,0.45,0.44 29.70 42°C normal
2018-12-23__09:49:50 0.29,0.44,0.43 28.06 42°C normal
2018-12-23__09:49:58 0.26,0.43,0.43 37.87 42°C normal
2018-12-23__09:50:08 0.30,0.43,0.43 38.77 42°C normal
2018-12-23__09:50:18 0.40,0.45,0.44 47.20 42°C normal
2018-12-23__09:50:24 0.42,0.45,0.44 46.19 42°C normal
2018-12-23__09:50:34 0.46,0.46,0.44 43.43 42°C normal
2018-12-23__09:50:39 0.54,0.48,0.45 27.69 43°C normal
2018-12-23__09:50:45 0.50,0.47,0.45 43.14 43°C normal
